match_id,date,player_1,player_2,player_1_sets_won,player_2_sets_won,winner,total_sets,set_1_player_1,set_1_player_2,set_2_player_1,set_2_player_2,set_3_player_1,set_3_player_2,set_4_player_1,set_4_player_2,set_5_player_1,set_5_player_2,player_1_clean,player_2_clean,player_1_elo,player_2_elo,elo_diff,p1_win_rate_last5,p2_win_rate_last5,p1_head_to_head_wins,p2_head_to_head_wins,p1_head_to_head_win_ratio,p1_streak,p2_streak,p1_form_volatility,p2_form_volatility,player_1_wins,elo_difference_category
88,2025-12-19,Dawid Poloszczanski,Bartlomiej Wisniewski,3,0,Dawid Poloszczanski,3,12.0,10.0,11.0,9.0,11.0,9.0,,,,,Dawid Poloszczanski,Bartlomiej Wisniewski,702.0,746.0,-44.0,1.0,0.6,0.0,0.0,0.0,1.0,-1.0,0.0,0.48989794855663565,1,-50/0
89,2025-12-19,Miroslav Sklensky,Adrian Spychala,3,1,Miroslav Sklensky,4,12.0,10.0,11.0,7.0,8.0,11.0,13.0,11.0,,,Miroslav Sklensky,Adrian Spychala,1120.0,1034.0,86.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1,50/100
90,2025-12-19,Bartlomiej Mleczko,Kamil Rudomina,3,1,Bartlomiej Mleczko,4,11.0,9.0,9.0,11.0,11.0,5.0,13.0,11.0,,,Bartlomiej Mleczko,Kamil Rudomina,808.0,804.0,4.0,0.5,0.0,0.0,0.0,0.0,-2.0,0.0,0.5,0.0,1,0/50
91,2025-12-19,Karol Wisniewski,Lukasz Jarocki,3,2,Karol Wisniewski,5,11.0,8.0,6.0,11.0,9.0,11.0,11.0,8.0,15.0,13.0,Karol Wisniewski,Lukasz Jarocki,1047.0,1015.0,32.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1,0/50
92,2025-12-19,Kamil Rudomina,Arkadiusz Mugowski,1,3,Arkadiusz Mugowski,4,10.0,12.0,11.0,8.0,1.0,11.0,8.0,11.0,,,Kamil Rudomina,Arkadiusz Mugowski,804.0,792.0,12.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0,0/50
93,2025-12-19,Miroslav Sklensky,Karol Strowski,0,3,Karol Strowski,3,8.0,11.0,5.0,11.0,2.0,11.0,,,,,Miroslav Sklensky,Karol Strowski,1120.0,1049.0,71.0,0.5,0.6,0.0,0.0,0.0,1.0,1.0,0.0,0.48989794855663565,0,50/100
94,2025-12-19,Sebastian Szostok,Mariusz Baron,3,1,Sebastian Szostok,4,12.0,10.0,11.0,6.0,5.0,11.0,11.0,5.0,,,Sebastian Szostok,Mariusz Baron,613.0,575.0,38.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1,0/50
95,2025-12-19,Maciej Makajew,Jakub Witkowski,1,3,Jakub Witkowski,4,10.0,12.0,9.0,11.0,11.0,7.0,6.0,11.0,,,Maciej Makajew,Jakub Witkowski,892.0,910.0,-18.0,1.0,0.6,1.0,0.0,1.0,4.0,-2.0,0.0,0.48989794855663565,0,-50/0
97,2025-12-19,Mikolaj Lukaszewski,Piotr Staniszewski,0,3,Piotr Staniszewski,3,9.0,11.0,8.0,11.0,3.0,11.0,,,,,Mikolaj Lukaszewski,Piotr Staniszewski,716.0,753.0,-37.0,0.75,0.6,0.0,0.0,0.0,2.0,1.0,0.4330127018922193,0.48989794855663565,0,-50/0
99,2025-12-19,Krzysztof Niemiec,Krystian Kolodziej,0,3,Krystian Kolodziej,3,6.0,11.0,3.0,11.0,7.0,11.0,,,,,Krzysztof Niemiec,Krystian Kolodziej,813.0,1125.0,-312.0,0.2,0.8,0.0,0.0,0.0,1.0,-1.0,0.4,0.4,0,<-200
100,2025-12-19,Wojciech Gluszek,Krzysztof Kotyl,3,0,Wojciech Gluszek,3,11.0,4.0,12.0,10.0,11.0,3.0,,,,,Wojciech Gluszek,Krzysztof Kotyl,745.0,738.0,7.0,0.4,0.0,0.0,0.0,0.0,2.0,-3.0,0.48989794855663565,0.0,1,0/50
101,2025-12-19,Michal Natkaniec,Waldemar Glanowski,0,3,Waldemar Glanowski,3,6.0,11.0,6.0,11.0,6.0,11.0,,,,,Michal Natkaniec,Waldemar Glanowski,455.0,744.0,-289.0,0.3333333333333333,1.0,0.0,0.0,0.0,-1.0,4.0,0.4714045207910317,0.0,0,<-200
